Instance,Model,s,Binary Search,|V|,|E|,LB,LB Time (seconds),UB,UB Time (seconds),Total Time (seconds),Objective Value,Objective Bound
karate,LB+UB,2,False,34,78,4,0.02,4,0.0,0.03125572204589844,N/A,N/A
chesapeake,LB+UB,2,False,39,170,3,0.0,3,0.015618562698364258,0.015618562698364258,N/A,N/A
dolphins,LB+UB,2,False,62,159,13,0.0,14,0.016001224517822266,0.03161931037902832,N/A,N/A
lesmis,LB+UB,2,False,77,254,10,0.02,10,0.0,0.031243324279785156,N/A,N/A
polbooks,LB+UB,2,False,105,441,12,0.03,13,0.0,0.04685521125793457,N/A,N/A
adjnoun,LB+UB,2,False,112,425,18,0.03,18,0.0,0.047275543212890625,N/A,N/A
football,LB+UB,2,False,115,613,7,0.14,12,0.188201904296875,0.34516191482543945,N/A,N/A
jazz,LB+UB,2,False,198,2742,13,0.14,13,0.06255555152893066,0.3601346015930176,N/A,N/A
celegansneural,LB+UB,2,False,297,2148,14,0.41,16,0.046868324279785156,0.6907410621643066,N/A,N/A
celegans_metabolic,LB+UB,2,False,453,2025,29,0.38,29,0.06304383277893066,0.7372081279754639,N/A,N/A
netscience,LB+UB,2,False,1589,2742,477,0.22999999999999998,477,0.2553720474243164,0.5805854797363281,N/A,N/A
polblogs,LB+UB,2,False,1490,16715,395,3.83,395,0.7097744941711426,9.46022629737854,N/A,N/A
email,LB+UB,2,False,1133,5451,209,0.75,210,0.09410595893859863,1.757059097290039,N/A,N/A
data,LB+UB,2,False,2851,15093,250,180.41,284,60.389357566833496,245.12909412384033,N/A,N/A
