Instance,Problem,Model,s,|V|,|E|,LB,LB Time (seconds),UB_mode,UB,UB Time (seconds),Total Time (seconds),Objective Value,Objective Bound
dolphins,Partitioning,ext_label,3,62,159,6,0.02,IP,7,0,0.14,6,6
polbooks,Partitioning,ext_label,3,105,441,5,0.02,IP,6,0.02,1.03,5,5
football,Partitioning,ext_label,3,115,613,3,0.06,IP,6,0.17,7.03,3,3
celegansneural,Partitioning,ext_label,3,297,2148,5,0.37,IP,7,0.27,74.19,5,5
netscience,Partitioning,ext_label,3,1589,2742,444,0.38,IP,445,0.25,2.14,444,444
polblogs,Partitioning,ext_label,3,1490,16715,311,16.85,IP,314,65.33,4170.83,314,311
email,Partitioning,ext_label,3,1133,5451,93,30.94,IP,97,0.36,3704.87,97,94
data,Partitioning,ext_label,3,2851,15093,127,13.64,IP,139,60.89,3715.08,139,127.5
dolphins,Partitioning,Sasha,3,62,159,6,0,IP,7,0.02,1.69,6,6
polbooks,Partitioning,Sasha,3,105,441,5,0.03,IP,6,0.02,9.91,5,5
football,Partitioning,Sasha,3,115,613,3,0.09,IP,6,0.25,558.28,3,3
celegansneural,Partitioning,Sasha,3,297,2148,5,0.39,IP,7,0.28,3632.87,7,5
netscience,Partitioning,Sasha,3,1589,2742,444,0.72,IP,445,0.64,71.29,444,444
polblogs,Partitioning,Sasha,3,1490,16715,311,14.44,IP,348,69.55,2955.67,348,311
email,Partitioning,Sasha,3,1133,5451,93,30.54,IP,97,0.39,1584.26,97,93
data,Partitioning,Sasha,3,2851,15093,127,13.94,IP,139,60.88,3404.8,139,127
dolphins,Covering,ext_label,3,62,159,6,0.05,IP,7,0,0.17,6,6
polbooks,Covering,ext_label,3,105,441,5,0.03,IP,6,0.02,1.16,5,5
football,Covering,ext_label,3,115,613,3,0.08,IP,6,0.19,6.27,3,3
celegansneural,Covering,ext_label,3,297,2148,5,0.39,IP,7,0.27,36.63,5,5
netscience,Covering,ext_label,3,1589,2742,444,0.2,IP,445,0.33,2.17,444,444
polblogs,Covering,ext_label,3,1490,16715,311,14.07,IP,340,68.71,3745.07,340,311.5454545
email,Covering,ext_label,3,1133,5451,93,30.4,IP,97,0.36,3681.66,97,94
data,Covering,ext_label,3,2851,15093,127,13.66,IP,139,60.97,3711.78,139,128
dolphins,Covering,Sasha,3,62,159,6,0.02,IP,7,0.02,1.55,6,6
polbooks,Covering,Sasha,3,105,441,5,0.02,IP,6,0.03,11.36,5,5
football,Covering,Sasha,3,115,613,3,0.09,IP,6,0.23,388.17,3,3
celegansneural,Covering,Sasha,3,297,2148,5,0.37,IP,7,0.3,3632.66,7,5
netscience,Covering,Sasha,3,1589,2742,444,0.11,IP,445,0.61,81.89,444,444
polblogs,Covering,Sasha,3,1490,16715,311,15.26,IP,314,62.02,1757,314,311
email,Covering,Sasha,3,1133,5451,93,30.66,IP,97,0.38,1595.66,97,93
data,Covering,Sasha,3,2851,15093,127,13.78,IP,139,60.96,3329.88,139,127
