Instance,Model,s,Binary Search,|V|,|E|,LB,LB Time (seconds),UB,UB Time (seconds),Total Time (seconds),Objective Value,Objective Bound
dolphins,ext_label,3,False,62,159,6,0.02,7,0.005999565124511719,0.12859630584716797,6.0,6.0
polbooks,ext_label,3,False,105,441,5,0.03,6,0.013999462127685547,0.9954030513763428,5.0,5.0
football,ext_label,3,False,115,613,3,0.07,6,0.17146015167236328,6.915050029754639,3.0,3.0
celegansneural,ext_label,3,False,297,2148,5,0.47,7,0.20350050926208496,82.0971577167511,5.0,5.0
netscience,ext_label,3,False,1589,2742,444,0.06999999999999999,445,0.25060486793518066,1.9555785655975342,444.0,444.0
polblogs,ext_label,3,False,1490,16715,311,14.39,348,68.42756819725037,3803.561773777008,348.0,311.0
email,ext_label,3,False,1133,5451,93,27.1,97,0.3632206916809082,3675.5830960273743,97.0,94.0
data,ext_label,3,False,2851,15093,127,13.64,139,60.81241726875305,3697.0214080810547,139.0,128.0
dolphins,Sasha,3,False,62,159,6,0.01,7,0.009583234786987305,1.5802123546600342,6.0,6.0
polbooks,Sasha,3,False,105,441,5,0.03,6,0.018997669219970703,10.182751655578613,5.0,5.0
football,Sasha,3,False,115,613,3,0.08,6,0.24818706512451172,567.0876140594482,3.0,3.0
celegansneural,Sasha,3,False,297,2148,5,0.5,7,0.23302221298217773,3633.0216002464294,7,5
netscience,Sasha,3,False,1589,2742,444,0.09999999999999999,445,0.7105047702789307,69.95145344734192,444.0,444.0
polblogs,Sasha,3,False,1490,16715,311,14.41,348,69.83451128005981,2983.240900993347,348,311
email,Sasha,3,False,1133,5451,93,26.52,97,0.36130738258361816,1566.4090888500214,97,93
data,Sasha,3,False,2851,15093,127,13.78,139,60.55670952796936,3102.846594810486,139,127
