Instance,Model,s,Binary Search,|V|,|E|,LB,LB Time (seconds),UB,UB Time (seconds),Total Time (seconds),Objective Value,Objective Bound
dolphins,ext_label,3,True,62,159,6,0.02,7,0.0,0.2195756435394287,6,6
polbooks,ext_label,3,True,105,441,5,0.03,6,0.0156252384185791,1.7570147514343262,5,5
football,ext_label,3,True,115,613,3,0.06,6,0.17269253730773926,23.74351978302002,3,3
celegansneural,ext_label,3,True,297,2148,5,0.46,7,0.20400500297546387,34.22522306442261,5,5
netscience,ext_label,3,True,1589,2742,444,0.33,445,0.195875883102417,3.1524977684020996,444,444
polblogs,ext_label,3,True,1490,16715,44,13.47,N/A,67.87797522544861,3752.1683497428894,81,N/A
email,ext_label,3,True,1133,5451,93,26.05,97,0.4248826503753662,3679.262280225754,97,93
data,ext_label,3,True,2851,15093,127,14.35,139,60.512181997299194,3753.7648928165436,139,127
