Instance,Model,s,Binary Search,|V|,|E|,LB,LB Time (seconds),UB_mode,UB,UB Time (seconds),Total Time (seconds),Objective Value,Objective Bound
karate,LB+UB,2,False,34,78,4,0.01,APX,4,0.00,0.01,N/A,N/A
chesapeake,LB+UB,2,False,39,170,3,0.02,APX,3,0.00,0.02,N/A,N/A
dolphins,LB+UB,2,False,62,159,13,0.02,APX,16,0.00,0.02,N/A,N/A
lesmis,LB+UB,2,False,77,254,10,0.02,APX,10,0.00,0.03,N/A,N/A
polbooks,LB+UB,2,False,105,441,12,0.02,APX,14,0.00,0.03,N/A,N/A
adjnoun,LB+UB,2,False,112,425,18,0.02,APX,18,0.02,0.05,N/A,N/A
football,LB+UB,2,False,115,613,7,0.13,APX,14,0.02,0.16,N/A,N/A
jazz,LB+UB,2,False,198,2742,13,0.11,APX,14,0.08,0.33,N/A,N/A
celegansneural,LB+UB,2,False,297,2148,14,0.36,APX,19,0.05,0.61,N/A,N/A
celegans_metabolic,LB+UB,2,False,453,2025,29,0.36,APX,30,0.11,0.69,N/A,N/A
netscience,LB+UB,2,False,1589,2742,477,0.24,APX,477,0.11,0.43,N/A,N/A
polblogs,LB+UB,2,False,1490,16715,395,4.12,APX,396,1.09,9.19,N/A,N/A
email,LB+UB,2,False,1133,5451,209,1.43,APX,222,0.58,2.51,N/A,N/A
data,LB+UB,2,False,2851,15093,250,60.66,APX,358,2.23,64.28,N/A,N/A
karate,LB+UB,2,False,34,78,4,0.02,IP,4,0.00,0.02,N/A,N/A
chesapeake,LB+UB,2,False,39,170,3,0.02,IP,3,0.00,0.02,N/A,N/A
dolphins,LB+UB,2,False,62,159,13,0.00,IP,14,0.00,0.02,N/A,N/A
lesmis,LB+UB,2,False,77,254,10,0.01,IP,10,0.00,0.03,N/A,N/A
polbooks,LB+UB,2,False,105,441,12,0.02,IP,13,0.02,0.03,N/A,N/A
adjnoun,LB+UB,2,False,112,425,18,0.03,IP,18,0.00,0.05,N/A,N/A
football,LB+UB,2,False,115,613,7,0.13,IP,12,0.20,0.34,N/A,N/A
jazz,LB+UB,2,False,198,2742,13,0.13,IP,13,0.06,0.33,N/A,N/A
celegansneural,LB+UB,2,False,297,2148,14,0.36,IP,16,0.05,0.61,N/A,N/A
celegans_metabolic,LB+UB,2,False,453,2025,29,0.34,IP,29,0.08,0.66,N/A,N/A
netscience,LB+UB,2,False,1589,2742,477,0.25,IP,477,0.34,0.64,N/A,N/A
polblogs,LB+UB,2,False,1490,16715,395,4.09,IP,395,0.55,8.71,N/A,N/A
email,LB+UB,2,False,1133,5451,209,1.41,IP,210,0.13,2.02,N/A,N/A
data,LB+UB,2,False,2851,15093,250,60.72,IP,286,60.58,122.64,N/A,N/A
karate,LB+UB,4,False,34,78,2,0.00,APX,2,0.00,0.02,N/A,N/A
chesapeake,LB+UB,4,False,39,170,1,0.02,APX,1,0.00,0.03,N/A,N/A
dolphins,LB+UB,4,False,62,159,4,0.02,APX,5,0.00,0.03,N/A,N/A
lesmis,LB+UB,4,False,77,254,2,0.02,APX,2,0.02,0.06,N/A,N/A
polbooks,LB+UB,4,False,105,441,2,0.03,APX,2,0.03,0.09,N/A,N/A
adjnoun,LB+UB,4,False,112,425,3,0.05,APX,4,0.05,0.13,N/A,N/A
football,LB+UB,4,False,115,613,1,0.05,APX,4,0.03,0.11,N/A,N/A
jazz,LB+UB,4,False,198,2742,4,0.14,APX,4,0.42,0.75,N/A,N/A
celegansneural,LB+UB,4,False,297,2148,2,0.32,APX,3,0.42,1.02,N/A,N/A
celegans_metabolic,LB+UB,4,False,453,2025,7,0.74,APX,8,0.80,1.95,N/A,N/A
netscience,LB+UB,4,False,1589,2742,418,0.44,APX,421,0.23,0.77,N/A,N/A
polblogs,LB+UB,4,False,1490,16715,280,7.02,APX,284,8.42,21.92,N/A,N/A
email,LB+UB,4,False,1133,5451,37,15.20,APX,51,1.04,18.76,N/A,N/A
data,LB+UB,4,False,2851,15093,91,13.94,APX,123,1.80,17.57,N/A,N/A
karate,LB+UB,4,False,34,78,2,0.00,IP,2,0.00,0.00,N/A,N/A
chesapeake,LB+UB,4,False,39,170,1,0.00,IP,1,0.02,0.02,N/A,N/A
dolphins,LB+UB,4,False,62,159,4,0.00,IP,4,0.02,0.03,N/A,N/A
lesmis,LB+UB,4,False,77,254,2,0.02,IP,2,0.01,0.06,N/A,N/A
polbooks,LB+UB,4,False,105,441,2,0.03,IP,2,0.03,0.08,N/A,N/A
adjnoun,LB+UB,4,False,112,425,3,0.07,IP,3,0.04,0.13,N/A,N/A
football,LB+UB,4,False,115,613,1,0.05,IP,3,0.06,0.14,N/A,N/A
jazz,LB+UB,4,False,198,2742,4,0.14,IP,4,0.31,0.63,N/A,N/A
celegansneural,LB+UB,4,False,297,2148,2,0.31,IP,3,0.41,1.00,N/A,N/A
celegans_metabolic,LB+UB,4,False,453,2025,7,0.74,IP,7,0.58,1.73,N/A,N/A
netscience,LB+UB,4,False,1589,2742,418,0.54,IP,418,0.33,0.92,N/A,N/A
polblogs,LB+UB,4,False,1490,16715,280,6.82,IP,281,6.00,19.28,N/A,N/A
email,LB+UB,4,False,1133,5451,37,15.07,IP,40,0.69,18.27,N/A,N/A
data,LB+UB,4,False,2851,15093,91,13.87,IP,96,18.09,33.76,N/A,N/A
