Instance,Model,s,Binary Search,|V|,|E|,LB,LB Time (seconds),UB,UB Time (seconds),Total Time (seconds),Objective Value,Objective Bound
dolphins,ext_label,2,True,62,159,13,0.01,14,0.004999637603759766,0.09051895141601562,13,13
polbooks,ext_label,2,True,105,441,12,0.02,13,0.011021852493286133,0.4694490432739258,12,12
football,ext_label,2,True,115,613,7,0.13,12,0.1830151081085205,1858.125364780426,10,9
celegansneural,ext_label,2,True,297,2148,14,0.45,16,0.05510377883911133,71.56193494796753,15,14
email,ext_label,2,True,1133,5451,209,0.79,210,0.10254240036010742,85.66831374168396,209,209
data,ext_label,2,True,2851,15093,250,180.46,284,60.3881311416626,3956.6650834083557,284,250
