Instance,Model,s,Binary Search,|V|,|E|,LB,LB Time (seconds),UB,UB Time (seconds),Total Time (seconds),Objective Value,Objective Bound
dolphins,ext_label,3,False,62,159,6,0.02,7,0.005998134613037109,0.13364219665527344,6.0,6.0
polbooks,ext_label,3,False,105,441,5,0.03,6,0.013992071151733398,1.0152194499969482,5.0,5.0
football,ext_label,3,False,115,613,3,0.07,6,0.17215633392333984,6.941007852554321,3.0,3.0
celegansneural,ext_label,3,False,297,2148,5,0.47,7,0.20581412315368652,85.622722864151,5.0,5.0
netscience,ext_label,3,False,1589,2742,444,0.06999999999999999,445,0.24504470825195312,1.9944214820861816,444.0,444.0
polblogs,ext_label,3,False,1490,16715,44,13.36,N/A,67.98343086242676,3802.1283626556396,81.0,N/A
dolphins,Sasha,3,False,62,159,6,0.02,7,0.012998104095458984,1.9379303455352783,6.0,6.0
polbooks,Sasha,3,False,105,441,5,0.03,6,0.021004199981689453,10.245526313781738,5.0,5.0
football,Sasha,3,False,115,613,3,0.08,6,0.2559814453125,568.6393039226532,3.0,3.0
celegansneural,Sasha,3,False,297,2148,5,0.49,7,0.23959112167358398,3632.9585149288177,7,5
email,Sasha,3,False,1133,5451,93,26.02,97,0.3435232639312744,1575.354211807251,97,93
data,Sasha,3,False,2851,15093,127,12.96,139,60.42827391624451,3253.56481218338,139,127
